Operation Date,Status,Currency Ticker,Operation Type,Operation Amount,Operation Fees,Operation Hash,Account Name,Account xpub,Countervalue Ticker,Countervalue at Operation Date,Countervalue at CSV Export
2026-02-15T19:45:33.000Z,Confirmed,BTC,IN,0.00339,0.00001325,5afd0b007088384aa0edc3df25c776c0dce4efeedaa624f42e397601c5f6c810,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,198.25,209.47
2026-01-26T20:30:51.000Z,Confirmed,BTC,IN,0.00268,0.00001536,e6807c246f4c72c605d9d39e31abc098fbd5b70e7b85512919613feb464a8fc2,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,198.05,165.59
2025-12-22T18:58:10.000Z,Confirmed,BTC,IN,0.0039,0.00001505,fea5a513a162fc682a06452804f5375de6af772f92a2c078fe91f9caa7a71a9a,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,295.77,240.98
2025-11-09T13:53:00.000Z,Confirmed,BTC,IN,0.00327,0.00000782,5388083b32db7db781fbb8c983d2f113abaabea32143fd0f293125213655d697,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,291.54,202.05
2025-08-25T07:42:32.000Z,Confirmed,BTC,IN,0.00255,0.00002412,c0f39cf41bad8698440131a54d8f5124117ab8163c246d94367446dfafd0bce3,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,245.43,157.56
2025-07-11T23:31:57.000Z,Confirmed,BTC,IN,0.00146,0.00001188,eda63b806885d3c30cf39e967f2c606b1e7f99557f0db5e714e798871d6ac58f,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,146.97,90.21
2025-05-02T09:36:56.000Z,Confirmed,BTC,IN,0.00334,0.00002995,560c7fea3465fee0f6639877b5027a138c22cca7db80bdbbb4d9c005c3f9ce0a,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,286.55,206.38
2025-03-19T17:25:25.000Z,Confirmed,BTC,IN,0.0036,0.00004018,12cf4028cb80506fe16abdcc09908d54a0727bd4b5a2b43735cc2cf0e4f84e18,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,277.37,222.44
2025-02-24T21:10:27.000Z,Confirmed,BTC,IN,0.00319221,0.00003948,34402ca34c045347b3b6b5ab87bfd7437bdfa83bf2b333a75b461897939e8985,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,289.98,197.24
2025-01-31T22:48:33.000Z,Confirmed,BTC,IN,0.00237,0.00002698,c5b1403dd4ebc07e1abc255c3000ea788cafb1f3783e9657676892d94c389814,Bitcoin Hugo,xpub6CooNNC6U6BnyJYMWGn1C3KH8X7TZdHuPD3fzCyBArzEe5dKLwnM6KAhthVmtzJcAwUvhthTFSwFamZmqo9QxmeAKhYYnbkSKYBCS8rVKHi,EUR,238.64,146.44
